"","Primkey","ID","SubID","Location","Side_A","Side_B","Incompability","Territory","Begin","End","Intensity","Type","Startdate","Startprecision","Startdate2","Startprecision2","COW_A","COW_B","COW_location","Continent","Lat","Lon","Radius","Version"
"1",101001946,1010,0,"Bolivia","Bolivia","Popular Revolutionary Movement",2,"",1946,1946,3,3,"01-Jun-46",4,"01-Jun-46",4,"145","","145",5,-16.5,-68.15,50,1.1
"2",101011951,1010,1,"Bolivia","Bolivia","MNR",2,"",1951,1951,1,3,"09-Apr-51",1,"09-Apr-51",1,"145","","145",5,-16.5,-68.15,50,1.1
"3",101011967,1010,1,"Bolivia","Bolivia","ELN",2,"",1967,1967,1,3,"01-Mar-67",3,"01-Mar-67",3,"145","","145",5,-21,-66,250,1.1
"4",102001946,1020,0,"Cambodia","France","Khmer Issarak",1,"Cambodia",1946,1953,1,1,"01-Aug-46",3,"01-Aug-46",3,"220","","811",3,12.5,105,350,1.1
"4.1",102001946,1020,0,"Cambodia","France","Khmer Issarak",1,"Cambodia",1946,1953,1,1,"01-Aug-46",3,"01-Aug-46",3,"220","","811",3,12.5,105,350,1.1
"4.2",102001946,1020,0,"Cambodia","France","Khmer Issarak",1,"Cambodia",1946,1953,1,1,"01-Aug-46",3,"01-Aug-46",3,"220","","811",3,12.5,105,350,1.1
"4.3",102001946,1020,0,"Cambodia","France","Khmer Issarak",1,"Cambodia",1946,1953,1,1,"01-Aug-46",3,"01-Aug-46",3,"220","","811",3,12.5,105,350,1.1
"4.4",102001946,1020,0,"Cambodia","France","Khmer Issarak",1,"Cambodia",1946,1953,1,1,"01-Aug-46",3,"01-Aug-46",3,"220","","811",3,12.5,105,350,1.1
"4.5",102001946,1020,0,"Cambodia","France","Khmer Issarak",1,"Cambodia",1946,1953,1,1,"01-Aug-46",3,"01-Aug-46",3,"220","","811",3,12.5,105,350,1.1
"4.6",102001946,1020,0,"Cambodia","France","Khmer Issarak",1,"Cambodia",1946,1953,1,1,"01-Aug-46",3,"01-Aug-46",3,"220","","811",3,12.5,105,350,1.1
"4.7",102001946,1020,0,"Cambodia","France","Khmer Issarak",1,"Cambodia",1946,1953,1,1,"01-Aug-46",3,"01-Aug-46",3,"220","","811",3,12.5,105,350,1.1
"5",103001946,1030,0,"China","China","Peoples Liberation Army",2,"",1946,1949,3,3,"01-Jan-46",7,"01-Jan-46",7,"710","","710",3,35,110,2000,1.1
"5.1",103001946,1030,0,"China","China","Peoples Liberation Army",2,"",1946,1949,3,3,"01-Jan-46",7,"01-Jan-46",7,"710","","710",3,35,110,2000,1.1
"5.2",103001946,1030,0,"China","China","Peoples Liberation Army",2,"",1946,1949,3,3,"01-Jan-46",7,"01-Jan-46",7,"710","","710",3,35,110,2000,1.1
"5.3",103001946,1030,0,"China","China","Peoples Liberation Army",2,"",1946,1949,3,3,"01-Jan-46",7,"01-Jan-46",7,"710","","710",3,35,110,2000,1.1
"6",104001946,1040,0,"Greece","Greece","DSE",2,"",1946,1949,3,3,"01-Mar-46",4,"01-Mar-46",4,"350","","350",1,39.5,22.5,200,1.1
"6.1",104001946,1040,0,"Greece","Greece","DSE",2,"",1946,1949,3,3,"01-Mar-46",4,"01-Mar-46",4,"350","","350",1,39.5,22.5,200,1.1
"6.2",104001946,1040,0,"Greece","Greece","DSE",2,"",1946,1949,3,3,"01-Mar-46",4,"01-Mar-46",4,"350","","350",1,39.5,22.5,200,1.1
"6.3",104001946,1040,0,"Greece","Greece","DSE",2,"",1946,1949,3,3,"01-Mar-46",4,"01-Mar-46",4,"350","","350",1,39.5,22.5,200,1.1
"7",105001946,1050,0,"Indonesia","Netherlands","Indonesian Peoples Army",1,"Indonesia",1946,1949,1,1,"13-Oct-45",2,"01-Jan-46",11,"210","","850",3,0,110,1800,1.1
"7.1",105001946,1050,0,"Indonesia","Netherlands","Indonesian Peoples Army",1,"Indonesia",1946,1949,1,1,"13-Oct-45",2,"01-Jan-46",11,"210","","850",3,0,110,1800,1.1
"7.2",105001946,1050,0,"Indonesia","Netherlands","Indonesian Peoples Army",1,"Indonesia",1946,1949,1,1,"13-Oct-45",2,"01-Jan-46",11,"210","","850",3,0,110,1800,1.1
"7.3",105001946,1050,0,"Indonesia","Netherlands","Indonesian Peoples Army",1,"Indonesia",1946,1949,1,1,"13-Oct-45",2,"01-Jan-46",11,"210","","850",3,0,110,1800,1.1
"8",106001946,1060,0,"Iran","Iran","Republic of Kurdistan/KDPI, Soviet Union",1,"Kurdistan",1946,1946,1,4,"01-Jan-46",5,"01-Jan-46",5,"630","365","630",2,37,46,300,1.1
"9",106011966,1060,1,"Iran","Iran","KDPI",1,"Kurdistan",1966,1968,2,3,"01-Jan-46",5,"01-Jan-46",5,"630","","630",2,37,46,300,1.1
"9.1",106011966,1060,1,"Iran","Iran","KDPI",1,"Kurdistan",1966,1968,2,3,"01-Jan-46",5,"01-Jan-46",5,"630","","630",2,37,46,300,1.1
"9.2",106011966,1060,1,"Iran","Iran","KDPI",1,"Kurdistan",1966,1968,2,3,"01-Jan-46",5,"01-Jan-46",5,"630","","630",2,37,46,300,1.1
"10",106011979,1060,1,"Iran","Iran","KDPI",1,"Kurdistan",1979,1980,3,3,"01-Jan-46",5,"01-Jan-46",5,"630","","630",2,37,46,300,1.1
"10.1",106011979,1060,1,"Iran","Iran","KDPI",1,"Kurdistan",1979,1980,3,3,"01-Jan-46",5,"01-Jan-46",5,"630","","630",2,37,46,300,1.1
"11",106011981,1060,1,"Iran","Iran","KDPI",1,"Kurdistan",1981,1981,2,3,"01-Jan-46",5,"01-Jan-46",5,"630","","630",2,37,46,300,1.1
"12",106011982,1060,1,"Iran","Iran","KDPI",1,"Kurdistan",1982,1982,3,3,"01-Jan-46",5,"01-Jan-46",5,"630","","630",2,37,46,300,1.1
"13",106011983,1060,1,"Iran","Iran","KDPI",1,"Kurdistan",1983,1988,2,3,"01-Jan-46",5,"01-Jan-46",5,"630","","630",2,37,46,300,1.1
"13.1",106011983,1060,1,"Iran","Iran","KDPI",1,"Kurdistan",1983,1988,2,3,"01-Jan-46",5,"01-Jan-46",5,"630","","630",2,37,46,300,1.1
"13.2",106011983,1060,1,"Iran","Iran","KDPI",1,"Kurdistan",1983,1988,2,3,"01-Jan-46",5,"01-Jan-46",5,"630","","630",2,37,46,300,1.1
"13.3",106011983,1060,1,"Iran","Iran","KDPI",1,"Kurdistan",1983,1988,2,3,"01-Jan-46",5,"01-Jan-46",5,"630","","630",2,37,46,300,1.1
"13.4",106011983,1060,1,"Iran","Iran","KDPI",1,"Kurdistan",1983,1988,2,3,"01-Jan-46",5,"01-Jan-46",5,"630","","630",2,37,46,300,1.1
"13.5",106011983,1060,1,"Iran","Iran","KDPI",1,"Kurdistan",1983,1988,2,3,"01-Jan-46",5,"01-Jan-46",5,"630","","630",2,37,46,300,1.1
"14",106011990,1060,1,"Iran","Iran","KDPI",1,"Kurdistan",1990,1990,2,3,"01-Jan-46",5,"01-Jan-46",5,"630","","630",2,37,46,300,1.1
"15",106011993,1060,1,"Iran","Iran","KDPI",1,"Kurdistan",1993,1993,2,3,"01-Jan-46",5,"01-Jan-46",5,"630","","630",2,37,46,300,1.1
"16",107001946,1070,0,"Iran","Iran","Republic of Azerbaijan, Soviet Union",1,"Azerbaijan",1946,1946,1,4,"19-Nov-45",1,"01-Jan-46",11,"630","365","630",2,39,47,200,1.1
"17",108001946,1080,0,"Israel","United Kingdom","IZL [Etzel]",1,"Israel",1946,1946,1,1,"01-Mar-39",4,"01-Jan-46",11,"200","","666",2,32,35,150,1.1
"18",109001946,1090,0,"Laos","France","Lao Issara",1,"Laos",1946,1949,1,1,"01-Mar-46",4,"01-Mar-46",4,"220","","812",3,18,104,600,1.1
"18.1",109001946,1090,0,"Laos","France","Lao Issara",1,"Laos",1946,1949,1,1,"01-Mar-46",4,"01-Mar-46",4,"220","","812",3,18,104,600,1.1
"18.2",109001946,1090,0,"Laos","France","Lao Issara",1,"Laos",1946,1949,1,1,"01-Mar-46",4,"01-Mar-46",4,"220","","812",3,18,104,600,1.1
"18.3",109001946,1090,0,"Laos","France","Lao Issara",1,"Laos",1946,1949,1,1,"01-Mar-46",4,"01-Mar-46",4,"220","","812",3,18,104,600,1.1
"19",109001950,1090,0,"Laos","France","Lao Issara",1,"Laos",1950,1953,2,1,"01-Mar-46",4,"01-Mar-46",4,"220","","812",3,18,104,600,1.1
"19.1",109001950,1090,0,"Laos","France","Lao Issara",1,"Laos",1950,1953,2,1,"01-Mar-46",4,"01-Mar-46",4,"220","","812",3,18,104,600,1.1
"19.2",109001950,1090,0,"Laos","France","Lao Issara",1,"Laos",1950,1953,2,1,"01-Mar-46",4,"01-Mar-46",4,"220","","812",3,18,104,600,1.1
"19.3",109001950,1090,0,"Laos","France","Lao Issara",1,"Laos",1950,1953,2,1,"01-Mar-46",4,"01-Mar-46",4,"220","","812",3,18,104,600,1.1
"20",110001946,1100,0,"Philippines","Philippines","Huk",2,"",1946,1954,3,3,"01-Jul-46",4,"01-Jul-46",4,"840","","840",3,17,122,300,1.1
"20.1",110001946,1100,0,"Philippines","Philippines","Huk",2,"",1946,1954,3,3,"01-Jul-46",4,"01-Jul-46",4,"840","","840",3,17,122,300,1.1
"20.2",110001946,1100,0,"Philippines","Philippines","Huk",2,"",1946,1954,3,3,"01-Jul-46",4,"01-Jul-46",4,"840","","840",3,17,122,300,1.1
"20.3",110001946,1100,0,"Philippines","Philippines","Huk",2,"",1946,1954,3,3,"01-Jul-46",4,"01-Jul-46",4,"840","","840",3,17,122,300,1.1
"20.4",110001946,1100,0,"Philippines","Philippines","Huk",2,"",1946,1954,3,3,"01-Jul-46",4,"01-Jul-46",4,"840","","840",3,17,122,300,1.1
"20.5",110001946,1100,0,"Philippines","Philippines","Huk",2,"",1946,1954,3,3,"01-Jul-46",4,"01-Jul-46",4,"840","","840",3,17,122,300,1.1
"20.6",110001946,1100,0,"Philippines","Philippines","Huk",2,"",1946,1954,3,3,"01-Jul-46",4,"01-Jul-46",4,"840","","840",3,17,122,300,1.1
"20.7",110001946,1100,0,"Philippines","Philippines","Huk",2,"",1946,1954,3,3,"01-Jul-46",4,"01-Jul-46",4,"840","","840",3,17,122,300,1.1
"20.8",110001946,1100,0,"Philippines","Philippines","Huk",2,"",1946,1954,3,3,"01-Jul-46",4,"01-Jul-46",4,"840","","840",3,17,122,300,1.1
"21",110011972,1100,1,"Philippines","Philippines","NPA",2,"",1972,1980,1,3,"05-Oct-72",1,"05-Oct-72",1,"840","","840",3,13,123,800,1.1
"21.1",110011972,1100,1,"Philippines","Philippines","NPA",2,"",1972,1980,1,3,"05-Oct-72",1,"05-Oct-72",1,"840","","840",3,13,123,800,1.1
"21.2",110011972,1100,1,"Philippines","Philippines","NPA",2,"",1972,1980,1,3,"05-Oct-72",1,"05-Oct-72",1,"840","","840",3,13,123,800,1.1
"21.3",110011972,1100,1,"Philippines","Philippines","NPA",2,"",1972,1980,1,3,"05-Oct-72",1,"05-Oct-72",1,"840","","840",3,13,123,800,1.1
"21.4",110011972,1100,1,"Philippines","Philippines","NPA",2,"",1972,1980,1,3,"05-Oct-72",1,"05-Oct-72",1,"840","","840",3,13,123,800,1.1
"21.5",110011972,1100,1,"Philippines","Philippines","NPA",2,"",1972,1980,1,3,"05-Oct-72",1,"05-Oct-72",1,"840","","840",3,13,123,800,1.1
"21.6",110011972,1100,1,"Philippines","Philippines","NPA",2,"",1972,1980,1,3,"05-Oct-72",1,"05-Oct-72",1,"840","","840",3,13,123,800,1.1
"21.7",110011972,1100,1,"Philippines","Philippines","NPA",2,"",1972,1980,1,3,"05-Oct-72",1,"05-Oct-72",1,"840","","840",3,13,123,800,1.1
"21.8",110011972,1100,1,"Philippines","Philippines","NPA",2,"",1972,1980,1,3,"05-Oct-72",1,"05-Oct-72",1,"840","","840",3,13,123,800,1.1
"22",110011981,1100,1,"Philippines","Philippines","NPA",2,"",1981,1981,2,3,"05-Oct-72",1,"05-Oct-72",1,"840","","840",3,13,123,800,1.1
"23",110011982,1100,1,"Philippines","Philippines","NPA",2,"",1982,1986,3,3,"05-Oct-72",1,"05-Oct-72",1,"840","","840",3,13,123,800,1.1
"23.1",110011982,1100,1,"Philippines","Philippines","NPA",2,"",1982,1986,3,3,"05-Oct-72",1,"05-Oct-72",1,"840","","840",3,13,123,800,1.1
"23.2",110011982,1100,1,"Philippines","Philippines","NPA",2,"",1982,1986,3,3,"05-Oct-72",1,"05-Oct-72",1,"840","","840",3,13,123,800,1.1
"23.3",110011982,1100,1,"Philippines","Philippines","NPA",2,"",1982,1986,3,3,"05-Oct-72",1,"05-Oct-72",1,"840","","840",3,13,123,800,1.1
"23.4",110011982,1100,1,"Philippines","Philippines","NPA",2,"",1982,1986,3,3,"05-Oct-72",1,"05-Oct-72",1,"840","","840",3,13,123,800,1.1
"24",110011987,1100,1,"Philippines","Philippines","NPA",2,"",1987,1988,2,3,"05-Oct-72",1,"05-Oct-72",1,"840","","840",3,13,123,800,1.1
"24.1",110011987,1100,1,"Philippines","Philippines","NPA",2,"",1987,1988,2,3,"05-Oct-72",1,"05-Oct-72",1,"840","","840",3,13,123,800,1.1
"25",110011989,1100,1,"Philippines","Philippines","NPA, RAM-SFP, Military faction",2,"",1989,1992,3,3,"05-Oct-72",1,"05-Oct-72",1,"840","","840",3,13,123,800,1.1
"25.1",110011989,1100,1,"Philippines","Philippines","NPA, RAM-SFP, Military faction",2,"",1989,1992,3,3,"05-Oct-72",1,"05-Oct-72",1,"840","","840",3,13,123,800,1.1
"25.2",110011989,1100,1,"Philippines","Philippines","NPA, RAM-SFP, Military faction",2,"",1989,1992,3,3,"05-Oct-72",1,"05-Oct-72",1,"840","","840",3,13,123,800,1.1
"25.3",110011989,1100,1,"Philippines","Philippines","NPA, RAM-SFP, Military faction",2,"",1989,1992,3,3,"05-Oct-72",1,"05-Oct-72",1,"840","","840",3,13,123,800,1.1
"26",110011993,1100,1,"Philippines","Philippines","NPA, RAM-SFP, Military faction",2,"",1993,1994,2,3,"05-Oct-72",1,"05-Oct-72",1,"840","","840",3,13,123,800,1.1
"26.1",110011993,1100,1,"Philippines","Philippines","NPA, RAM-SFP, Military faction",2,"",1993,1994,2,3,"05-Oct-72",1,"05-Oct-72",1,"840","","840",3,13,123,800,1.1
"27",110011999,1100,1,"Philippines","Philippines","NPA",2,"",1999,2001,2,3,"05-Oct-72",1,"05-Oct-72",1,"840","","840",3,13,123,800,1.1
"27.1",110011999,1100,1,"Philippines","Philippines","NPA",2,"",1999,2001,2,3,"05-Oct-72",1,"05-Oct-72",1,"840","","840",3,13,123,800,1.1
"27.2",110011999,1100,1,"Philippines","Philippines","NPA",2,"",1999,2001,2,3,"05-Oct-72",1,"05-Oct-72",1,"840","","840",3,13,123,800,1.1
"28",111001946,1110,0,"Soviet Union","Soviet Union","Forest Brothers",1,"Estonia",1946,1948,2,3,"01-Jan-44",6,"01-Jan-46",11,"365","","365",1,59,26,200,1.1
"28.1",111001946,1110,0,"Soviet Union","Soviet Union","Forest Brothers",1,"Estonia",1946,1948,2,3,"01-Jan-44",6,"01-Jan-46",11,"365","","365",1,59,26,200,1.1
"28.2",111001946,1110,0,"Soviet Union","Soviet Union","Forest Brothers",1,"Estonia",1946,1948,2,3,"01-Jan-44",6,"01-Jan-46",11,"365","","365",1,59,26,200,1.1
"29",112001946,1120,0,"Soviet Union","Soviet Union","LTS(p)A, LNJS, and LNPA",1,"Latvia",1946,1947,2,3,"01-Jan-45",6,"01-Jan-46",11,"365","","365",1,57,25,250,1.1
"29.1",112001946,1120,0,"Soviet Union","Soviet Union","LTS(p)A, LNJS, and LNPA",1,"Latvia",1946,1947,2,3,"01-Jan-45",6,"01-Jan-46",11,"365","","365",1,57,25,250,1.1
"30",113001946,1130,0,"Soviet Union","Soviet Union","BDPS",1,"Lithuania",1946,1947,3,3,"01-Jan-46",6,"01-Jan-46",6,"365","","365",1,55,24,200,1.1
"30.1",113001946,1130,0,"Soviet Union","Soviet Union","BDPS",1,"Lithuania",1946,1947,3,3,"01-Jan-46",6,"01-Jan-46",6,"365","","365",1,55,24,200,1.1
"31",113001948,1130,0,"Soviet Union","Soviet Union","BDPS",1,"Lithuania",1948,1948,2,3,"01-Jan-46",6,"01-Jan-46",6,"365","","365",1,55,24,150,1.1
"32",114001946,1140,0,"Soviet Union","Soviet Union","UPA",1,"Ukraine",1946,1948,3,3,"01-Jan-41",5,"01-Jan-46",11,"365","","365",1,49,25,200,1.1
"32.1",114001946,1140,0,"Soviet Union","Soviet Union","UPA",1,"Ukraine",1946,1948,3,3,"01-Jan-41",5,"01-Jan-46",11,"365","","365",1,49,25,200,1.1
"32.2",114001946,1140,0,"Soviet Union","Soviet Union","UPA",1,"Ukraine",1946,1948,3,3,"01-Jan-41",5,"01-Jan-46",11,"365","","365",1,49,25,200,1.1
"33",114001949,1140,0,"Soviet Union","Soviet Union","UPA",1,"Ukraine",1949,1950,2,3,"01-Jan-41",6,"01-Jan-46",11,"365","","365",1,49,25,200,1.1
"33.1",114001949,1140,0,"Soviet Union","Soviet Union","UPA",1,"Ukraine",1949,1950,2,3,"01-Jan-41",6,"01-Jan-46",11,"365","","365",1,49,25,200,1.1
"34",115001946,1150,0,"Thailand - France","Thailand","France",1,"Northern Cambodia",1946,1946,1,2,"07-May-46",1,"07-May-46",1,"800","220","800,220",3,16,105,400,1.1
"35",116001946,1160,0,"United Kingdom - Albania","United Kingdom","Albania",1,"Korfu Channel",1946,1946,1,2,"22-Oct-46",1,"22-Oct-46",1,"200","339","200,339",1,39.75,19.75,50,1.1
"36",117001946,1170,0,"Vietnam","France","Viet Nam Doc Dong Min Hoi",1,"Vietnam",1946,1954,3,1,"20-Nov-46",1,"20-Nov-46",1,"220","","816",3,17,107,800,1.1
"36.1",117001946,1170,0,"Vietnam","France","Viet Nam Doc Dong Min Hoi",1,"Vietnam",1946,1954,3,1,"20-Nov-46",1,"20-Nov-46",1,"220","","816",3,17,107,800,1.1
"36.2",117001946,1170,0,"Vietnam","France","Viet Nam Doc Dong Min Hoi",1,"Vietnam",1946,1954,3,1,"20-Nov-46",1,"20-Nov-46",1,"220","","816",3,17,107,800,1.1
"36.3",117001946,1170,0,"Vietnam","France","Viet Nam Doc Dong Min Hoi",1,"Vietnam",1946,1954,3,1,"20-Nov-46",1,"20-Nov-46",1,"220","","816",3,17,107,800,1.1
"36.4",117001946,1170,0,"Vietnam","France","Viet Nam Doc Dong Min Hoi",1,"Vietnam",1946,1954,3,1,"20-Nov-46",1,"20-Nov-46",1,"220","","816",3,17,107,800,1.1
"36.5",117001946,1170,0,"Vietnam","France","Viet Nam Doc Dong Min Hoi",1,"Vietnam",1946,1954,3,1,"20-Nov-46",1,"20-Nov-46",1,"220","","816",3,17,107,800,1.1
"36.6",117001946,1170,0,"Vietnam","France","Viet Nam Doc Dong Min Hoi",1,"Vietnam",1946,1954,3,1,"20-Nov-46",1,"20-Nov-46",1,"220","","816",3,17,107,800,1.1
"36.7",117001946,1170,0,"Vietnam","France","Viet Nam Doc Dong Min Hoi",1,"Vietnam",1946,1954,3,1,"20-Nov-46",1,"20-Nov-46",1,"220","","816",3,17,107,800,1.1
"36.8",117001946,1170,0,"Vietnam","France","Viet Nam Doc Dong Min Hoi",1,"Vietnam",1946,1954,3,1,"20-Nov-46",1,"20-Nov-46",1,"220","","816",3,17,107,800,1.1
"37",118001947,1180,0,"China","China","Taiwanese insurgents",1,"Taiwan",1947,1947,3,3,"28-Feb-47",1,"28-Feb-47",1,"710","","710",3,23.5,121,200,1.1
"38",119001947,1190,0,"Hyderabad","Hyderabad","CPI",2,"",1947,1948,3,3,"01-Jun-47",4,"01-Jun-47",4,"-99","","-99",3,17.5,78.5,300,1.1
"38.1",119001947,1190,0,"Hyderabad","Hyderabad","CPI",2,"",1947,1948,3,3,"01-Jun-47",4,"01-Jun-47",4,"-99","","-99",3,17.5,78.5,300,1.1
"39",120001947,1200,0,"India - Pakistan","India","Pakistan",1,"Kashmir",1947,1948,3,2,"29-Oct-47",1,"29-Oct-47",1,"750","770","750,770",3,34,76,250,1.1
"39.1",120001947,1200,0,"India - Pakistan","India","Pakistan",1,"Kashmir",1947,1948,3,2,"29-Oct-47",1,"29-Oct-47",1,"750","770","750,770",3,34,76,250,1.1
"40",120011964,1200,1,"India - Pakistan","India","Pakistan",1,"Kashmir",1964,1964,2,2,"29-Oct-47",1,"29-Oct-47",1,"750","770","750,770",3,34,76,250,1.1
"41",120011965,1200,1,"India - Pakistan","India","Pakistan",1,"Kashmir",1965,1965,3,2,"29-Oct-47",1,"29-Oct-47",1,"750","770","750,770",3,34,76,250,1.1
"42",120011971,1200,1,"India - Pakistan","India","Pakistan",1,"Kashmir",1971,1971,3,2,"29-Oct-47",1,"29-Oct-47",1,"750","770","750,770",3,27,82,1200,1.1
"43",120021984,1200,2,"India - Pakistan","India","Pakistan",1,"Kashmir",1984,1984,2,2,"29-Oct-47",1,"29-Oct-47",1,"750","770","750,770",3,34,76,250,1.1
"44",120021987,1200,2,"India - Pakistan","India","Pakistan",1,"Kashmir",1987,1987,2,2,"29-Oct-47",1,"29-Oct-47",1,"750","770","750,770",3,34,76,250,1.1
"45",120021989,1200,2,"India - Pakistan","India","Pakistan",1,"Kashmir",1989,1990,2,2,"29-Oct-47",1,"29-Oct-47",1,"750","770","750,770",3,34,76,250,1.1
"45.1",120021989,1200,2,"India - Pakistan","India","Pakistan",1,"Kashmir",1989,1990,2,2,"29-Oct-47",1,"29-Oct-47",1,"750","770","750,770",3,34,76,250,1.1
"46",120021992,1200,2,"India - Pakistan","India","Pakistan",1,"Kashmir",1992,1992,2,2,"29-Oct-47",1,"29-Oct-47",1,"750","770","750,770",3,34,76,250,1.1
"47",120021996,1200,2,"India - Pakistan","India","Pakistan",1,"Kashmir",1996,1998,2,2,"29-Oct-47",1,"29-Oct-47",1,"750","770","750,770",3,34,76,250,1.1
"47.1",120021996,1200,2,"India - Pakistan","India","Pakistan",1,"Kashmir",1996,1998,2,2,"29-Oct-47",1,"29-Oct-47",1,"750","770","750,770",3,34,76,250,1.1
"47.2",120021996,1200,2,"India - Pakistan","India","Pakistan",1,"Kashmir",1996,1998,2,2,"29-Oct-47",1,"29-Oct-47",1,"750","770","750,770",3,34,76,250,1.1
"48",120021999,1200,2,"India - Pakistan","India","Pakistan",1,"Kashmir",1999,1999,3,2,"29-Oct-47",1,"29-Oct-47",1,"750","770","750,770",3,34,76,250,1.1
"49",120022000,1200,2,"India - Pakistan","India","Pakistan",1,"Kashmir",2000,2001,2,2,"29-Oct-47",1,"29-Oct-47",1,"750","770","750,770",3,34,76,250,1.1
"49.1",120022000,1200,2,"India - Pakistan","India","Pakistan",1,"Kashmir",2000,2001,2,2,"29-Oct-47",1,"29-Oct-47",1,"750","770","750,770",3,34,76,250,1.1
"50",121001947,1210,0,"Madagascar","France","MDRM",1,"Malagasy",1947,1947,3,1,"29-Mar-47",1,"29-Mar-47",1,"220","","580",4,18.5,49,700,1.1
"51",122001947,1220,0,"Paraguay","Paraguay","Opposition coalition (Febreristas, Liberals and Communists)",2,"",1947,1947,3,3,"01-Jan-47",5,"01-Jan-47",5,"150","","150",5,-25.27,-57.67,50,1.1
"52",122001954,1220,1,"Paraguay","Paraguay","Military faction",2,"",1954,1954,1,3,"05-May-54",1,"05-May-54",1,"150","","150",5,-24,-57,150,1.1
"53",122011989,1220,2,"Paraguay","Paraguay","Military faction",2,"",1989,1989,1,3,"03-Feb-89",1,"03-Feb-89",1,"150","","150",5,-25.27,-57.67,50,1.1
"54",123001948,1230,0,"Burma","Burma","KNU and KNDO",1,"Karen",1948,1949,3,3,"01-Dec-47",4,"01-Jan-48",11,"775","","775",3,17,97.5,200,1.1
"54.1",123001948,1230,0,"Burma","Burma","KNU and KNDO",1,"Karen",1948,1949,3,3,"01-Dec-47",4,"01-Jan-48",11,"775","","775",3,17,97.5,200,1.1
"55",123001950,1230,0,"Burma","Burma","KNU and KNDO",1,"Karen",1950,1991,2,3,"01-Dec-47",4,"01-Jan-48",11,"775","","775",3,17,97.5,200,1.1
"55.1",123001950,1230,0,"Burma","Burma","KNU and KNDO",1,"Karen",1950,1991,2,3,"01-Dec-47",4,"01-Jan-48",11,"775","","775",3,17,97.5,200,1.1
"55.2",123001950,1230,0,"Burma","Burma","KNU and KNDO",1,"Karen",1950,1991,2,3,"01-Dec-47",4,"01-Jan-48",11,"775","","775",3,17,97.5,200,1.1
"55.3",123001950,1230,0,"Burma","Burma","KNU and KNDO",1,"Karen",1950,1991,2,3,"01-Dec-47",4,"01-Jan-48",11,"775","","775",3,17,97.5,200,1.1
"55.4",123001950,1230,0,"Burma","Burma","KNU and KNDO",1,"Karen",1950,1991,2,3,"01-Dec-47",4,"01-Jan-48",11,"775","","775",3,17,97.5,200,1.1
"55.5",123001950,1230,0,"Burma","Burma","KNU and KNDO",1,"Karen",1950,1991,2,3,"01-Dec-47",4,"01-Jan-48",11,"775","","775",3,17,97.5,200,1.1
"55.6",123001950,1230,0,"Burma","Burma","KNU and KNDO",1,"Karen",1950,1991,2,3,"01-Dec-47",4,"01-Jan-48",11,"775","","775",3,17,97.5,200,1.1
"55.7",123001950,1230,0,"Burma","Burma","KNU and KNDO",1,"Karen",1950,1991,2,3,"01-Dec-47",4,"01-Jan-48",11,"775","","775",3,17,97.5,200,1.1
"55.8",123001950,1230,0,"Burma","Burma","KNU and KNDO",1,"Karen",1950,1991,2,3,"01-Dec-47",4,"01-Jan-48",11,"775","","775",3,17,97.5,200,1.1
"55.9",123001950,1230,0,"Burma","Burma","KNU and KNDO",1,"Karen",1950,1991,2,3,"01-Dec-47",4,"01-Jan-48",11,"775","","775",3,17,97.5,200,1.1
"55.10",123001950,1230,0,"Burma","Burma","KNU and KNDO",1,"Karen",1950,1991,2,3,"01-Dec-47",4,"01-Jan-48",11,"775","","775",3,17,97.5,200,1.1
"55.11",123001950,1230,0,"Burma","Burma","KNU and KNDO",1,"Karen",1950,1991,2,3,"01-Dec-47",4,"01-Jan-48",11,"775","","775",3,17,97.5,200,1.1
"55.12",123001950,1230,0,"Burma","Burma","KNU and KNDO",1,"Karen",1950,1991,2,3,"01-Dec-47",4,"01-Jan-48",11,"775","","775",3,17,97.5,200,1.1
"55.13",123001950,1230,0,"Burma","Burma","KNU and KNDO",1,"Karen",1950,1991,2,3,"01-Dec-47",4,"01-Jan-48",11,"775","","775",3,17,97.5,200,1.1
"55.14",123001950,1230,0,"Burma","Burma","KNU and KNDO",1,"Karen",1950,1991,2,3,"01-Dec-47",4,"01-Jan-48",11,"775","","775",3,17,97.5,200,1.1
"55.15",123001950,1230,0,"Burma","Burma","KNU and KNDO",1,"Karen",1950,1991,2,3,"01-Dec-47",4,"01-Jan-48",11,"775","","775",3,17,97.5,200,1.1
"55.16",123001950,1230,0,"Burma","Burma","KNU and KNDO",1,"Karen",1950,1991,2,3,"01-Dec-47",4,"01-Jan-48",11,"775","","775",3,17,97.5,200,1.1
"55.17",123001950,1230,0,"Burma","Burma","KNU and KNDO",1,"Karen",1950,1991,2,3,"01-Dec-47",4,"01-Jan-48",11,"775","","775",3,17,97.5,200,1.1
"55.18",123001950,1230,0,"Burma","Burma","KNU and KNDO",1,"Karen",1950,1991,2,3,"01-Dec-47",4,"01-Jan-48",11,"775","","775",3,17,97.5,200,1.1
"55.19",123001950,1230,0,"Burma","Burma","KNU and KNDO",1,"Karen",1950,1991,2,3,"01-Dec-47",4,"01-Jan-48",11,"775","","775",3,17,97.5,200,1.1
"55.20",123001950,1230,0,"Burma","Burma","KNU and KNDO",1,"Karen",1950,1991,2,3,"01-Dec-47",4,"01-Jan-48",11,"775","","775",3,17,97.5,200,1.1
